NodeID,Day,Weekday,Hour,Availability
Node_1,1,0,9,1
Node_1,1,0,14,1
Node_1,1,0,17,1
Node_1,1,0,19,1
Node_1,1,0,3,1
Node_1,2,1,13,1
Node_1,2,1,7,1
Node_1,2,1,20,1
Node_1,2,1,19,1
Node_1,2,1,17,1
Node_1,3,2,2,1
Node_1,3,2,0,1
Node_1,3,2,16,1
Node_1,3,2,3,1
Node_1,3,2,17,1
Node_1,3,2,18,1
Node_1,3,2,7,1
Node_1,4,3,15,1
Node_1,4,3,23,1
Node_1,4,3,9,1
Node_1,4,3,6,1
Node_1,4,3,5,1
Node_1,4,3,18,1
Node_1,4,3,10,1
Node_1,5,4,11,1
Node_1,5,4,1,1
Node_1,5,4,2,1
Node_1,5,4,13,1
Node_1,5,4,6,1
Node_1,5,4,19,1
Node_1,5,4,17,1
Node_1,6,5,1,1
Node_1,6,5,12,1
Node_1,6,5,5,1
Node_1,8,0,11,1
Node_1,8,0,22,1
Node_1,8,0,17,1
Node_1,8,0,13,1
Node_1,8,0,14,1
Node_1,8,0,23,1
Node_1,8,0,15,1
Node_1,8,0,2,1
Node_1,8,0,20,1
Node_1,8,0,16,1
Node_1,8,0,6,1
Node_1,9,1,11,1
Node_1,9,1,7,1
Node_1,9,1,2,1
Node_1,9,1,3,1
Node_1,9,1,17,1
Node_1,9,1,4,1
Node_1,9,1,14,1
Node_1,9,1,23,1
Node_1,10,2,9,1
Node_1,10,2,16,1
Node_1,10,2,23,1
Node_1,10,2,10,1
Node_1,10,2,2,1
Node_1,11,3,21,1
Node_1,11,3,9,1
Node_1,11,3,8,1
Node_1,11,3,19,1
Node_1,11,3,23,1
Node_1,11,3,14,1
Node_1,11,3,4,1
Node_1,11,3,3,1
Node_1,11,3,2,1
Node_1,11,3,16,1
Node_1,11,3,20,1
Node_1,12,4,20,1
Node_1,12,4,15,1
Node_1,12,4,23,1
Node_1,12,4,3,1
Node_1,12,4,16,1
Node_1,12,4,19,1
Node_1,13,5,21,1
Node_1,13,5,3,1
Node_1,13,5,5,1
Node_1,13,5,16,1
Node_1,13,5,6,1
Node_1,14,6,21,1
Node_1,14,6,2,1
Node_1,14,6,18,1
Node_1,15,0,8,1
Node_1,15,0,17,1
Node_1,15,0,11,1
Node_1,15,0,2,1
Node_1,15,0,4,1
Node_1,15,0,10,1
Node_1,15,0,19,1
Node_1,15,0,22,1
Node_1,15,0,0,1
Node_1,15,0,9,1
Node_1,16,1,22,1
Node_1,16,1,1,1
Node_1,16,1,12,1
Node_1,16,1,15,1
Node_1,16,1,16,1
Node_1,16,1,8,1
Node_1,16,1,3,1
Node_1,16,1,6,1
Node_1,16,1,4,1
Node_1,17,2,14,1
Node_1,17,2,22,1
Node_1,17,2,18,1
Node_1,17,2,8,1
Node_1,17,2,6,1
Node_1,17,2,16,1
Node_1,17,2,15,1
Node_1,17,2,3,1
Node_1,17,2,2,1
Node_1,17,2,11,1
Node_1,17,2,5,1
Node_1,17,2,7,1
Node_1,18,3,0,1
Node_1,18,3,2,1
Node_1,18,3,16,1
Node_1,18,3,4,1
Node_1,18,3,13,1
Node_1,18,3,12,1
Node_1,18,3,6,1
Node_1,19,4,4,1
Node_1,19,4,9,1
Node_1,19,4,8,1
Node_1,19,4,3,1
Node_1,19,4,23,1
Node_1,19,4,16,1
Node_1,19,4,12,1
Node_1,19,4,0,1
Node_1,19,4,1,1
Node_1,19,4,18,1
Node_1,19,4,22,1
Node_1,20,5,8,1
Node_1,21,6,14,1
Node_1,22,0,6,1
Node_1,22,0,14,1
Node_1,22,0,8,1
Node_1,22,0,2,1
Node_1,22,0,20,1
Node_1,22,0,15,1
Node_1,22,0,11,1
Node_1,23,1,20,1
Node_1,23,1,23,1
Node_1,23,1,6,1
Node_1,23,1,3,1
Node_1,24,2,8,1
Node_1,24,2,2,1
Node_1,24,2,21,1
Node_1,24,2,18,1
Node_1,24,2,22,1
Node_1,24,2,13,1
Node_1,24,2,16,1
Node_1,24,2,12,1
Node_1,24,2,6,1
Node_1,24,2,14,1
Node_1,24,2,0,1
Node_1,25,3,4,1
Node_1,25,3,14,1
Node_1,25,3,13,1
Node_1,25,3,16,1
Node_1,25,3,0,1
Node_1,25,3,21,1
Node_1,25,3,22,1
Node_1,26,4,14,1
Node_1,26,4,11,1
Node_1,26,4,8,1
Node_1,26,4,6,1
Node_1,26,4,20,1
Node_1,26,4,22,1
Node_1,26,4,10,1
Node_1,26,4,18,1
Node_1,27,5,11,1
Node_1,27,5,15,1
Node_1,28,6,10,1
Node_1,28,6,5,1
Node_1,28,6,6,1
Node_1,29,0,14,1
Node_1,29,0,7,1
Node_1,29,0,9,1
Node_1,29,0,16,1
Node_1,29,0,8,1
Node_1,29,0,19,1
Node_1,30,1,3,1
Node_1,30,1,20,1
Node_1,30,1,9,1
Node_1,30,1,6,1
Node_1,30,1,22,1
Node_1,30,1,21,1
Node_1,30,1,13,1
Node_1,30,1,5,1
