nodeID,cpu,RAM,storage
Node_1,4,16,512
Node_2,6,8,1024
Node_3,8,64,2048
Node_4,16,32,4096
Node_5,12,4,750
Node_6,6,16,8192
Node_7,8,32,512
Node_8,4,64,2048
Node_9,16,128,4096
Node_10,12,8,750
Node_11,6,32,1024
Node_12,8,128,512
Node_13,4,8,2048
Node_14,16,16,8192
Node_15,12,4,4096
Node_16,8,64,1024
Node_17,6,128,2048
Node_18,4,32,750
Node_19,12,64,8192
Node_20,16,16,4096
Node_21,8,4,2048
Node_22,4,8,512
Node_23,6,32,8192
Node_24,12,16,750
Node_25,8,128,1024
Node_26,4,64,4096
Node_27,16,8,512
Node_28,6,16,2048
Node_29,12,128,750
Node_30,4,32,4096
Node_31,8,64,8192
Node_32,6,8,1024
Node_33,12,16,512
Node_34,16,128,2048
Node_35,4,4,750
Node_36,8,64,1024
Node_37,6,32,4096
Node_38,16,16,8192
Node_39,12,128,512
Node_40,8,8,2048
Node_41,4,64,4096
Node_42,6,4,1024
Node_43,12,16,750
Node_44,8,128,8192
Node_45,16,32,2048
Node_46,4,8,512
Node_47,6,64,4096
Node_48,12,4,1024
Node_49,8,16,8192
Node_50,16,128,750
